domain,records
0c44e2ae-2df0-42fe-a313-35d2a7229749.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
0f34b059-29e4-405c-87a1-1c192dc9af7e.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1-comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1-httpsvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1-kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1.newsvirus.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
1.scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
10years.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
11.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
12-scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
127.0.0.1 activation-v2.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
13.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
13newvirus.kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
14.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
14newsvirus.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
15-comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
15scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
