domain,ip,port,service,severity,description,recommendation,banner,,,,,
ai.kaspersky.com,185.105.225.103,143,IMAP,Medium,IMAP может передавать данные в открытом виде,Использовать IMAPS,* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS AUTH=PLAIN AUTH=LOGIN] Dovecot (Debian) ready.,,,,,
cert.kaspersky.com,185.105.225.103,143,IMAP,Medium,IMAP может передавать данные в открытом виде,Использовать IMAPS,* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS AUTH=PLAIN AUTH=LOGIN] Dovecot (Debian) ready.,,,,,
fthub.kaspersky.com,185.105.225.103,143,IMAP,Medium,IMAP может передавать данные в открытом виде,Использовать IMAPS,* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS AUTH=PLAIN AUTH=LOGIN] Dovecot (Debian) ready.,,,,,
xtraining.kaspersky.com,62.182.19.228,143,IMAP,Medium,IMAP может передавать данные в открытом виде,Использовать IMAPS,* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE NAMESPACE LITERAL+ STARTTLS AUTH=PLAIN AUTH=LOGIN] Dovecot ready.,,,,,
ai.kaspersky.com,185.105.225.103,110,POP3,Medium,POP3 может передавать данные в открытом виде,Использовать POP3S,+OK Dovecot (Debian) ready.,,,,,
cert.kaspersky.com,185.105.225.103,110,POP3,Medium,POP3 может передавать данные в открытом виде,Использовать POP3S,+OK Dovecot (Debian) ready.,,,,,
fthub.kaspersky.com,185.105.225.103,110,POP3,Medium,POP3 может передавать данные в открытом виде,Использовать POP3S,+OK Dovecot (Debian) ready.,,,,,
xtraining.kaspersky.com,62.182.19.228,110,POP3,Medium,POP3 может передавать данные в открытом виде,Использовать POP3S,"+OK Dovecot ready.
-ERR Unknown command.",,,,,
ftp.geo.kaspersky.com,212.73.235.33,21,FTP,Medium,FTP может позволить анонимный доступ или брутфорс,"Ограничить доступ, использовать SFTP","220 
500 Invalid command: try being more creative",,,,,
spam.kaspersky.com,77.74.177.47,25,SMTP,Medium,SMTP может быть использован для спама,Настроить аутентификацию и фильтрацию,220 ESMTP Postfix,,,,,
spam2.kaspersky.com,77.74.177.61,25,SMTP,Medium,SMTP может быть использован для спама,Настроить аутентификацию и фильтрацию,220 ESMTP Postfix,,,,,
files.geo.kaspersky.com,185.85.12.16,21,FTP,Medium,FTP может позволить анонимный доступ или брутфорс,"Ограничить доступ, использовать SFTP","220 FTP Server ready.
500 Invalid command: try being more creative",,,,,
files.kaspersky.com,185.85.12.16,21,FTP,Medium,FTP может позволить анонимный доступ или брутфорс,"Ограничить доступ, использовать SFTP","220 FTP Server ready.
500 Invalid command: try being more creative",,,,,
mail1.usa.identity.kaspersky.com,69.56.8.131,25,SMTP,Medium,SMTP может быть использован для спама,Настроить аутентификацию и фильтрацию,"220 mail1.usa.identity.kaspersky.com ESMTP service ready
500 5.5.1 no command entered in """"",,,,,
mail2.usa.identity.kaspersky.com,69.56.8.132,25,SMTP,Medium,SMTP может быть использован для спама,Настроить аутентификацию и фильтрацию,"220 mail2.usa.identity.kaspersky.com ESMTP service ready
500 5.5.1 no command entered in """"",,,,,
xtraining.kaspersky.com,62.182.19.228,21,FTP,Medium,FTP может позволить анонимный доступ или брутфорс,"Ограничить доступ, использовать SFTP","220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 07:08. Server port: 21.
220-This is a private system - No anonymous logi",,,,,
xtraining.kaspersky.com,62.182.19.228,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 301 Moved Permanently
Location: https://xtraining.kaspersky.com/
Cache-Control: private, no-cache, max-age=0
Pragma: no-cache
Server:LiteSpeed
Content-Length: 0
Connection: Close",,,,,
im.kaspersky.com,158.160.7.181,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
im.ha.kaspersky.com,158.160.7.181,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
meet.kaspersky.com,158.160.7.181,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
meet.ha.kaspersky.com,158.160.7.181,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
opentip.ha.kaspersky.com,77.74.177.28,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
opentip.kaspersky.com,77.74.177.28,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
taxii.ha.kaspersky.com,82.202.184.191,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
taxii-2.tip.kaspersky.com,82.202.185.191,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
taxii.tip.kaspersky.com,82.202.184.191,443,HTTPS,Low,Проверить сертификат,Использовать валидный сертификат,"HTTP/1.0 400 Bad Request

Client sent an HTTP request to an HTTPS server.",,,,,
vpn.dc2.kaspersky.com,93.159.230.128,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.0 403 Forbidden
cache-control: no-cache
content-type: text/html

<html><body><h1>403 Forbidden</h1>
Request forbidden by administrative rules.
</body></html>",,,,,
trt.pdc.kaspersky.com,4.59.181.144,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.0 503 Service Unavailable
Cache-Control: no-cache
Connection: close
Content-Type: text/html
Content-Length: 19

Server-unavailable!",,,,,
links.welcome.kaspersky.com,91.199.51.78,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Cache-Control: private
Content-Type: text/html; charset=utf-8
Set-Cookie: TEMP_DATA=07f19797-6d39-4e26-af20-e407df888da4; path=/
Date: Thu, 24 Apr 2025 06:05:30 GMT
Content-Length",,,,,
links.securefutures.kaspersky.com,91.199.51.78,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Cache-Control: private
Content-Type: text/html; charset=utf-8
Set-Cookie: TEMP_DATA=b6113daa-3fac-449a-a55e-851903a1b063; path=/
Date: Thu, 24 Apr 2025 06:05:30 GMT
Content-Length",,,,,
vpnhelp.kaspersky.com,77.74.178.23,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Cache-Control: public,max-age=1800
Content-Type: text/html
Last-Modified: Thu, 03 Apr 2025 11:09:48 GMT
Accept-Ranges: bytes
ETag: ""1dba488e9a568c6""
Server: 
X-Frame-Options: SA",,,,,
evolution.kaspersky.com,93.159.228.19,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Cache-Control: public,max-age=1800
Content-Type: text/html
Last-Modified: Wed, 27 Sep 2023 13:07:58 GMT
Accept-Ranges: bytes
ETag: ""1d9f143a2c41997""
Server: 
X-Frame-Options: SA",,,,,
dl.kaspersky.com,93.159.228.11,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Cache-Control: public,max-age=1800
Server: 
X-Frame-Options: SAMEORIGIN
X-Server: msk2/KLM6
X-XSS-Protection: 1; mode=block
X-Content-Type-Options: nosniff
X-Powered-By: Kaspers",,,,,
utils.kaspersky.com,62.128.100.83,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Content-Length: 623
Date: Thu, 24 Apr 2025 06:08:06 GMT
Cache-Control: max-age=3600
Content-Type: text/html
Set-Cookie: klid=5364803e6809d546715f28d8a7d85827; domain=.kaspersky-la",,,,,
ml.kaspersky.com,104.17.70.206,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Date: Thu, 24 Apr 2025 06:05:50 GMT
Content-Type: text/html;charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
x-request-id: 8d604a2b89588ced
cache-control: private,",,,,,
6-kaspersky-com-prod.sm.kaspersky.com,89.169.165.198,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 200 OK
Server: nginx
Date: Thu, 24 Apr 2025 06:01:59 GMT
Content-Type: text/html; charset=utf-8
Content-Length: 615
Last-Modified: Tue, 11 Apr 2023 01:45:34 GMT
Connection: keep-alive
",,,,,
